,activities,index,act_ordered
0,"Increment 1, Sector B (Lev G,1,2): Demo, Superstructure, Building Envelope",,
1,"lay pipes, conduits sub-GL, sector B",25.1,NTP
2,submit shut down request for facilities,1,submit shut down request for facilities
3,"erect temp barrier, GL 6.5, M.4",3,"demo ceilings  GL 6.5, M.4"
4,"MEP in deck GL, sector B",29,"erect temp barrier, GL 6.5, M.4"
5,"MEP in deck 1L, sector B",33,demo exterior walls  GL 5.7 M
6,"MEP in deck 2L, sector B",38,demo interior walls  GL 5.7 - 7.1 M.4
7,"erect temp barrier, west of new main connector, GL, Sector B",46,"remove, salvage column covers,  GL 7.1 M"
8,remove roof assembly 2L (E),49,"demo ceilings 1L 7.1, M.4"
9,"remove parapet, coping  2L (E)",50,"remove, dispose 8"" san. sewer GL 5.7 D.4"
10,erect construction barrier  2L (E),51,erect temp barrier 1L M.4
11,remove ext window  2L (E),52,demo exterior walls  1L 5.7 M
12,demo part of exterior wall  2L (E),53,demo interior walls  1L 6.5 M.4
13,NTP,0,"remove, salvage column covers,  GL 7.1 M"
14,"demo ceilings  GL 6.5, M.4",2,"remove, dispose 6"" forced storm line GL 6.5 D.4 - M.4 "
15,demo exterior walls  GL 5.7 M,4,"cut and cap 6"" storm drain GL 5.7 M.4 - N"
16,demo interior walls  GL 5.7 - 7.1 M.4,5,raise ext. conduit into ceiling cavity GL 10.5 B
17,"remove, salvage column covers,  GL 7.1 M",6,"verify location of underground utilities sub-GL, Sector B"
18,"remove, dispose 8"" san. sewer GL 5.7 D.4",7,"demo existing slab as needed  sub-GL, Sector B"
19,"remove, dispose 6"" forced storm line GL 6.5 D.4 - M.4 ",12,"excavate soil sub-GL, Sector B"
20,"cut and cap 6"" storm drain GL 5.7 M.4 - N",13,"excavate elevator pit  sub-GL, Sector B"
21,raise ext. conduit into ceiling cavity GL 10.5 B,14,"erect shoring, timber lagging sub-GL, Sector B"
22,"verify location of underground utilities sub-GL, Sector B",15,"install piles sub-GL, Sector B"
23,"demo existing slab as needed  sub-GL, Sector B",16,"formwork, rebar, for pile caps sub-GL, Sector B"
24,"excavate soil sub-GL, Sector B",17,"install anchor and bolt connections to moment frame sub-GL, Sector B"
25,"excavate elevator pit  sub-GL, Sector B",18,"pour concrete, strip formwork for pile caps sub-GL, Sector B"
26,"erect shoring, timber lagging sub-GL, Sector B",19,"formwork for footing  sub-GL, Sector B"
27,"install piles sub-GL, Sector B",20,"rebar, pour, strip footings GL, Sector B"
28,"formwork, rebar, for pile caps sub-GL, Sector B",21,"formwork for foundations sub-GL, Sector B"
29,"install anchor and bolt connections to moment frame sub-GL, Sector B",22,"lay pipes, conduits sub-GL, sector B"
30,"pour concrete, strip formwork for pile caps sub-GL, Sector B",23,"subgrade preparation GL, Sector B"
31,"rebar, pour, strip footings GL, Sector B",24,"vapor barrier GL, Sector B"
32,"formwork for foundations sub-GL, Sector B",25,"rebar connecting new foundations to (E) GL, Sector B"
33,"subgrade preparation GL, Sector B",26,"MEP in deck GL, sector B"
34,"vapor barrier GL, Sector B",27,"rebar, pour, strip foundations GL, Sector B"
35,"rebar connecting new foundations to (E) GL, Sector B",28,"erect columns GL, Sector B"
36,"rebar, pour, strip foundations GL, Sector B",30,"erect beams GL, Sector B"
37,"erect columns GL, Sector B",31,"MEP in deck 1L, sector B"
38,"erect beams GL, Sector B",32,"erect steel deck 1L, Sector B"
39,"erect steel deck 1L, Sector B",34,"erect concrete deck  1L, Sector B"
40,"erect concrete deck  1L, Sector B",35,"erect columns 1L, Sector B"
41,"erect columns 1L, Sector B",36,"erect beams 1L, Sector B"
42,"erect beams 1L, Sector B",37,"MEP in deck 2L, sector B"
43,"erect steel deck 2L, Sector B",39,"erect steel deck 2L, Sector B"
44,"erect concrete deck 2L, Sector B",40,"erect concrete deck 2L, Sector B"
