,activities,index,act_ordered,durations
0,"lay pipes, conduits sub-GL, sector B",25.1,NTP,0
1,submit shut down request for facilities,1,submit shut down request for facilities,1
2,"erect temp barrier, GL 6.5, M.4",3,"demo ceilings  GL 6.5, M.4",2
3,"MEP in deck GL, sector B",29,"erect temp barrier, GL 6.5, M.4",3
4,"MEP in deck 1L, sector B",33,demo exterior walls  GL 5.7 M,3
5,"MEP in deck 2L, sector B",38,demo interior walls  GL 5.7 - 7.1 M.4,3
6,"erect temp barrier, west of new main connector, GL, Sector B",46,"remove, salvage column covers,  GL 7.1 M",1
7,remove roof assembly 2L (E),49,"demo ceilings 1L 7.1, M.4",2
8,"remove parapet, coping  2L (E)",50,"remove, dispose 8"" san. sewer GL 5.7 D.4",3
9,erect construction barrier  2L (E),51,erect temp barrier 1L M.4,3
10,remove ext window  2L (E),52,demo exterior walls  1L 5.7 M,3
11,demo part of exterior wall  2L (E),53,demo interior walls  1L 6.5 M.4,1
12,NTP,0,"remove, salvage column covers,  GL 7.1 M",3
13,"demo ceilings  GL 6.5, M.4",2,"remove, dispose 6"" forced storm line GL 6.5 D.4 - M.4 ",3
14,demo exterior walls  GL 5.7 M,4,"cut and cap 6"" storm drain GL 5.7 M.4 - N",1
15,demo interior walls  GL 5.7 - 7.1 M.4,5,raise ext. conduit into ceiling cavity GL 10.5 B,3
16,"remove, salvage column covers,  GL 7.1 M",6,"verify location of underground utilities sub-GL, Sector B",1
17,"remove, dispose 8"" san. sewer GL 5.7 D.4",7,"demo existing slab as needed  sub-GL, Sector B",2
18,"remove, dispose 6"" forced storm line GL 6.5 D.4 - M.4 ",12,"excavate soil sub-GL, Sector B",2
19,"cut and cap 6"" storm drain GL 5.7 M.4 - N",13,"excavate elevator pit  sub-GL, Sector B",1
20,raise ext. conduit into ceiling cavity GL 10.5 B,14,"erect shoring, timber lagging sub-GL, Sector B",4
21,"verify location of underground utilities sub-GL, Sector B",15,"install piles sub-GL, Sector B",4
22,"demo existing slab as needed  sub-GL, Sector B",16,"formwork, rebar, for pile caps sub-GL, Sector B",8
23,"excavate soil sub-GL, Sector B",17,"install anchor and bolt connections to moment frame sub-GL, Sector B",2
24,"excavate elevator pit  sub-GL, Sector B",18,"pour concrete, strip formwork for pile caps sub-GL, Sector B",12
25,"erect shoring, timber lagging sub-GL, Sector B",19,"formwork for footing  sub-GL, Sector B",2
26,"install piles sub-GL, Sector B",20,"rebar, pour, strip footings GL, Sector B",10
27,"formwork, rebar, for pile caps sub-GL, Sector B",21,"formwork for foundations sub-GL, Sector B",2
28,"install anchor and bolt connections to moment frame sub-GL, Sector B",22,"lay pipes, conduits sub-GL, sector B",5
29,"pour concrete, strip formwork for pile caps sub-GL, Sector B",23,"subgrade preparation GL, Sector B",2
30,"rebar, pour, strip footings GL, Sector B",24,"vapor barrier GL, Sector B",4
31,"formwork for foundations sub-GL, Sector B",25,"rebar connecting new foundations to (E) GL, Sector B",4
